PT_NM,WMYR,WMOD,WMWK,ITEM_PH,ITEM_BOD,ITEM_COD,ITEM_TOC,ITEM_SS,ITEM_DOC,ITEM_TP,ITEM_TCOLI,ITEM_ECOLI,drink
이안천,2022,3,1회차,7.5,1.8,3.8,2.0,,12.3,,,,1
내성천3-1,2022,3,4회차,7.4,0.5,4.5,2.6,,11.2,,,,1
양화천-1,2020,3,1회차,7.1,1.5,4.8,2.8,,10.3,,,,1
복하천2-1,2020,3,1회차,7.0,8.0,8.7,3.4,,7.7,,,,0
청미천,2020,3,1회차,7.5,2.3,6.7,5.0,,12.8,,,,0
오갑천,2020,3,3회차,8.4,1.7,2.6,1.9,,14.8,,,,1
탄천1-1,2020,3,4회차,7.1,4.5,8.0,5.4,,8.1,,,,0
고부천1,2020,3,1회차,7.0,1.9,8.7,5.0,,11.6,,,,1
광양서천,2020,3,1회차,8.3,0.4,3.1,1.3,,11.3,,,,1
양재천,2020,3,3회차,8.0,2.0,5.1,2.9,,11.3,,,,1
목현천,2020,3,4회차,8.0,1.7,4.2,1.8,,10.9,,,,1
안양천-1,2020,3,1회차,8.3,1.0,2.9,1.2,,13.2,,,,1
안양천1A,2020,3,2회차,7.5,1.3,6.1,3.8,,10.3,,,,1
곤지암천-1,2020,3,3회차,8.9,1.2,2.8,1.6,,12.1,,,,0
곤지암천-2,2020,3,4회차,8.1,1.4,4.2,2.0,,10.4,,,,1
안양천3-2,2020,3,1회차,7.6,2.6,8.4,5.5,,11.1,,,,0
장진천,2020,3,4회차,8.0,2.9,7.0,3.2,,12.5,,,,0
장진천,2020,3,3회차,7.7,3.2,5.7,3.4,,11.8,,,,0
왕숙천1-1,2020,3,2회차,8.6,2.2,3.3,2.3,,11.4,,,,0
신천2-1,2020,3,3회차,7.8,3.8,10.2,7.5,,10.3,,,,0
문산천,2020,3,4회차,8.5,0.9,3.2,1.6,,11.6,,,,1
창릉천-1,2020,3,4회차,9.4,1.2,3.4,1.4,,12.0,,,,0
군위남천,2020,3,1회차,7.1,1.4,3.1,1.7,,15.4,,,,1
부남호3,2020,3,1회차,7.7,7.5,16.8,7.3,,12.7,,,,0
C천안천,2020,3,2회차,8.0,12.2,9.3,6.5,,9.8,,,,0
구포,2020,3,4회차,8.4,1.3,3.2,3.0,,11.9,,,,1
곰나루,2020,3,3회차,6.8,1.1,4.7,2.4,,14.3,,,,1
창릉천-1,2020,3,1회차,8.6,1.9,2.8,2.5,,11.8,,,,0
현도,2020,3,2회차,7.5,0.6,3.5,2.4,,14.0,,,,1
금당천-1,2020,3,1회차,7.0,0.1,1.5,1.0,,8.3,,,,1
백천내,2021,4,1회차,6.7,0.8,2.0,0.9,,10.1,,,,1
옴천천,2021,4,1회차,7.3,1.4,3.3,1.1,,9.9,,,,1
소양강댐3,2021,4,11,6.9,2.1,2.4,1.6,,11.1,,,,0
장만수천,2021,4,1회차,7.7,1.9,5.1,2.2,,10.6,,,,1
갑천4,2021,4,1회차,7.7,2.6,6.7,4.0,,10.5,,,,0
의암댐1,2021,4,45,8.6,0.9,4.6,2.8,,12.4,,,,0
포남,2021,4,1회차,8.6,1.3,3.2,2.3,,10.9,,,,0
선암댐,2019,1,15,8.1,0.8,5.0,3.5,,12.7,,,,1
수어댐2,2019,1,13,7.5,1.3,2.1,1.1,,12.2,,,,1
C가좌천,2019,1,1회차,7.5,120.0,135.5,102.8,,4.9,,,,0
한천-1,2019,1,2회차,8.1,0.5,2.7,1.4,,13.1,,,,1
욱수천,2019,1,1회차,8.2,1.0,6.1,4.6,,13.9,,,,1
욱수천,2019,1,2회차,8.5,1.5,6.6,5.3,,14.3,,,,1
포천천,2019,1,1회차,7.6,1.2,4.5,2.7,,15.4,,,,1
영평천2,2019,1,1회차,7.8,0.8,3.2,1.3,,16.3,,,,1
동복댐2,2019,1,11,6.9,1.6,3.0,2.0,,11.5,,,,1
죽산,2019,6,2회차,7.4,5.1,10.6,8.5,,8.9,,,,0
남원천1,2019,6,2회차,7.9,6.3,14.5,11.3,,7.9,,,,0
전주,2019,6,3회차,7.4,1.9,6.1,3.6,,7.8,,,,1
강천,2019,6,2회차,8.1,1.0,4.6,2.8,,9.9,,,,1
주암댐1,2019,6,41,7.9,1.4,4.2,4.3,,8.2,,,,1
주암댐,2019,6,4회차,7.2,0.9,3.2,3.4,,5.2,,,,1
대강,2019,6,3회차,7.6,1.6,7.3,7.3,,7.4,,,,1
악양,2019,6,4회차,7.8,1.2,5.9,4.9,,9.6,,,,1
문평천,2019,6,1회차,6.9,1.7,6.8,4.1,,8.2,,,,1
탄천4,2019,6,4회차,7.5,1.6,7.0,4.3,,8.8,,,,1
보광,2019,7,1회차,7.4,2.0,5.6,2.6,,4.9,,,,1
요도천,2021,4,1회차,8.5,3.8,9.0,4.5,,10.8,,,,0
병천천,2021,4,1회차,8.5,2.6,6.4,3.7,,10.6,,,,0
장평천,2021,4,1회차,7.8,1.9,5.1,2.6,,10.0,,,,1
영동천2,2021,4,1회차,8.4,0.8,4.2,2.3,,10.8,,,,1
추풍천,2021,4,4회차,8.5,1.8,4.9,2.4,,15.8,,,,1
계산,2021,4,4회차,7.5,1.9,4.2,2.5,,9.1,,,,1
양재천,2021,4,3회차,7.9,1.8,5.1,2.0,,15.0,,,,1
계양천,2021,4,1회차,8.3,4.6,7.3,3.8,,12.1,,,,0
영산호2,2019,1,15,7.6,1.5,5.5,3.4,,14.0,,,,1
산북천,2019,1,2회차,7.8,4.7,7.9,5.3,,13.7,,,,0
공주1,2019,1,1회차,7.9,1.5,5.9,3.8,,14.1,,,,1
한천,2019,1,3회차,7.7,2.0,4.4,2.7,,13.8,,,,1
곡교천2,2019,1,4회차,7.7,7.0,10.4,8.0,,10.2,,,,0
추령천,2019,1,1회차,7.7,0.7,2.4,1.6,,17.3,,,,1
지석천4,2019,1,3회차,8.3,1.4,4.3,3.4,,16.9,,,,1
하남,2019,1,2회차,8.3,0.6,6.1,2.7,,14.2,,,,1
가야천,2019,1,1회차,7.5,0.4,1.4,1.3,,14.9,,,,1
광주2-1,2019,1,1회차,7.0,4.1,6.0,4.1,,14.2,,,,0
구례,2019,1,4회차,7.6,0.9,3.7,2.0,,13.7,,,,1
김포,2019,1,1회차,7.8,1.3,4.7,2.5,,14.1,,,,1
삼랑진A,2021,4,4회차,8.3,1.4,5.0,3.5,,9.5,,,,1
물금,2021,4,2회차,8.4,3.0,6.3,4.3,,12.2,,,,0
골포천,2021,4,1회차,7.1,0.3,2.3,1.3,,10.8,,,,1
용계천,2021,4,4회차,8.4,4.2,7.7,6.1,,10.0,,,,0
율천,2019,7,1회차,7.0,1.3,4.3,8.0,,8.9,,,,1
월평천,2019,7,4회차,6.8,1.1,4.9,6.0,,7.7,,,,1
치천,2019,7,2회차,7.5,0.9,4.7,4.1,,9.7,,,,1
청미천,2019,7,3회차,8.0,3.8,7.2,4.1,,9.9,,,,0
임실,2019,7,1회차,6.8,0.8,4.3,3.5,,8.2,,,,1
덕은리,2021,4,4회차,8.1,1.1,3.5,,,12.0,,,,1
C오갑천,2021,4,2회차,9.2,2.0,4.0,3.7,,10.5,,,,0
C칠장천,2021,4,1회차,8.3,2.6,6.6,5.2,,11.3,,,,0
동계,2019,7,1회차,7.7,1.8,4.6,2.4,,7.8,,,,1
C산암리수로,2019,7,2회차,7.3,4.7,10.2,7.1,,6.4,,,,0
창릉천1,2019,7,1회차,7.7,0.8,5.3,3.2,,8.3,,,,1
람천2,2019,1,1회차,8.3,0.5,2.5,1.4,,14.5,,,,1
예당지3,2019,7,1회차,9.4,12.2,17.8,7.1,,18.9,,,,0
나주,2019,7,4회차,7.3,2.3,6.7,5.6,,8.6,,,,0
주암댐1,2019,7,31,8.6,1.7,4.7,3.7,,8.9,,,,0
조양강,2019,7,1회차,9.1,1.5,3.3,1.8,,9.2,,,,0
신어천,2019,7,1회차,9.4,22.9,28.0,7.9,,16.6,,,,0
곤지암천-2,2019,7,4회차,8.1,2.1,4.6,2.5,,8.0,,,,0
양화천2,2019,7,2회차,8.3,1.9,5.2,2.7,,8.6,,,,1
회인천,2019,7,1회차,7.9,0.8,2.6,1.1,,9.9,,,,1
공주2,2019,7,1회차,7.7,4.7,7.8,4.7,,9.1,,,,0
와룡천,2019,7,1회차,8.2,4.2,6.5,4.8,,10.0,,,,0
길산천,2019,7,1회차,8.0,4.1,13.9,11.2,,5.5,,,,0
장흥댐3,2019,7,11,9.3,2.4,2.5,2.1,,9.7,,,,0
C제4간선수로,2021,4,1회차,8.0,2.7,5.5,2.4,,9.8,,,,0
